AA,24,LHR,507,DFW,3670,\N,0,77W
AA,24,PVR,1836,SFO,3469,Y,0,737
AA,24,PHX,3462,ATL,3682,Y,0,321
AA,24,DCA,3520,MCO,3878,\N,0,320
AA,24,MIA,3576,EZE,3988,\N,0,777
AA,24,SEA,3577,ORD,3830,\N,0,738
AA,24,DAY,3627,LGA,3697,Y,0,ERD
AA,24,DAY,3627,ORD,3830,Y,0,ER4
AA,24,DFW,3670,MCO,3878,\N,0,738
AA,24,PDX,3720,SNA,3867,Y,0,737
AA,24,MSP,3858,DFW,3670,\N,0,M83
AA,24,EYW,3875,MIA,3576,Y,0,ERD
AA,24,CLT,3876,ATL,3682,Y,0,319
G4,35,PIE,3617,GSP,4034,\N,0,M80
G4,35,MLI,4072,AZA,6505,\N,0,319
8V,55,KAL,6717,HSL,7108,\N,0,CNC
UX,90,BRU,302,MAD,1229,\N,0,E90
UX,90,FUE,1051,MAD,1229,\N,0,738
UX,90,SCQ,1243,IBZ,1225,\N,0,738
A3,96,CPH,609,SKG,1486,Y,0,320
FG,125,KDH,2051,DEL,3093,\N,0,734
SU,130,CDG,1382,SVO,2985,\N,0,321
SU,130,SVO,2985,PUJ,1760,\N,0,332
SU,130,SVO,2985,URC,3399,Y,0,737
AF,137,TLS,1273,ATH,3941,\N,0,320
AF,137,MRS,1353,CDG,1382,\N,0,318
AF,137,CDG,1382,GOT,687,\N,0,E70
AF,137,ORY,1386,CFE,1330,\N,0,AT7
AF,137,FDF,2878,PTP,2881,\N,0,32A
AF,137,SLC,3536,ATL,3682,Y,0,757
AF,137,RDU,3626,ATL,3682,Y,0,752
AF,137,AVL,4007,ATL,3682,Y,0,CRJ
J2,197,GYD,2922,LED,2948,\N,0,757
AB,214,DUS,345,GCI,498,\N,0,DH4
AB,214,DUS,345,FUE,1051,\N,0,321
AB,214,BCN,1218,TXL,351,\N,0,321
AB,214,HER,1452,DRS,338,\N,0,738
AB,214,BUD,1489,TXL,351,\N,0,319
AB,214,TLV,1590,DUS,345,\N,0,738
AB,214,VIE,1613,PVK,1470,\N,0,E90
AB,214,NBE,7447,CGN,344,\N,0,738
AI,218,IMF,3050,AJL,3039,\N,0,319
AI,218,DEL,3093,VTZ,3066,\N,0,321
AI,218,DEL,3093,SIN,3316,\N,0,788
AI,218,IXJ,3100,DEL,3093,\N,0,320
ZB,220,LGW,502,NBE,7447,\N,0,321
ZB,220,FCO,1555,BHX,469,\N,0,320
S2,241,BOM,2997,BLR,3131,Y,0,739
S2,241,BLR,3131,TRV,3153,Y,0,73H
AM,321,MEX,1824,MID,1819,\N,0,ERJ
AM,321,MEX,1824,MTY,1825,\N,0,737
AM,321,MTY,1825,MEX,1824,\N,0,737
AM,321,CUN,1852,BOS,3448,Y,0,757
AM,321,MCI,3458,ATL,3682,Y,0,M90
NH,324,NRT,2279,SEA,3577,\N,0,788
NH,324,OKJ,2327,GUM,2246,Y,0,73G
NH,324,HND,2359,UBJ,2296,\N,0,767
PX,328,POM,5,LAE,4,\N,0,DH4
AC,330,YOW,100,YHZ,73,\N,0,E90
AC,330,YYC,178,NRT,2279,\N,0,763
AC,330,YYZ,193,YYT,189,\N,0,E90
NZ,345,WLG,2042,NPE,4095,Y,0,AT7
2B,410,SVX,2975,OVB,4078,\N,0,CR2
OB,462,CBB,2759,TJA,2768,\N,0,733
2J,470,OUA,246,BKO,1044,\N,0,CRJ
FO,476,GXF,5954,SAH,3980,\N,0,CR7
OS,491,VIE,1613,CTA,1509,Y,0,320
OS,491,VIE,1613,CTA,1509,Y,0,100
OS,491,VIE,1613,SJJ,1646,Y,0,319
MO,502,YFO,58,YQD,5524,\N,0,AT4
AZ,596,YUL,146,CDG,1382,Y,0,744
AZ,596,TLS,1273,VCE,1551,Y,0,319
AZ,596,GOA,1528,CDG,1382,Y,0,E70
AZ,596,FCO,1555,VIE,1613,\N,0,E75
AZ,596,FCO,1555,EVN,3964,\N,0,319
AZ,596,AUH,2179,SYD,3361,Y,0,346
AZ,596,JFK,3797,YUL,146,Y,0,ERJ
AZ,596,BHM,3811,ATL,3682,Y,0,M88
GS,690,TSN,3368,CIF,6342,\N,0,E90
CA,751,PEK,3364,NNG,3373,\N,0,321
CA,751,KHN,3384,CTU,3395,\N,0,321
CA,751,CKG,3393,CAN,3370,\N,0,738
CA,751,XIL,6350,PEK,3364,\N,0,738
AH,794,LYS,1335,AAE,220,\N,0,738
EI,837,SNN,603,MAN,478,Y,0,AT4
KC,1006,ALA,2908,PEK,3364,\N,0,320
KC,1006,TSE,2910,GUW,4357,\N,0,320
KC,1006,KSN,6088,TSE,2910,\N,0,E90
A5,1203,LYS,1335,PIS,1268,\N,0,AT5
R3,1287,KRR,2960,TLV,1590,\N,0,73W
OR,1299,AMS,580,AUA,2895,\N,0,763
CG,1308,MXH,5431,HGU,3,\N,0,DH8
FL,1316,SEA,3577,SAN,3731,Y,0,73C
FL,1316,STL,3678,LAS,3877,Y,0,73C
TS,1317,YYZ,193,SNU,1918,Y,0,738
6R,1340,DME,4029,KRR,2960,\N,0,73G
BA,1355,DUS,345,LCY,503,\N,0,AR8
BA,1355,LGW,502,TPA,3646,\N,0,777
BA,1355,LHR,507,FRA,340,\N,0,767
BA,1355,MAA,3144,LHR,507,\N,0,777
BA,1355,WDH,4105,JNB,813,Y,0,738
UP,1403,BHM,3811,FPO,1948,\N,0,734
B2,1478,AER,2965,MSQ,2954,\N,0,735
GQ,1492,LXS,1465,JIK,4191,\N,0,J41
GQ,1492,MJT,1469,JKH,1450,\N,0,J41
5T,1623,YRT,132,YYQ,187,Y,0,AT4
C8,1750,SSG,891,BSG,890,\N,0,146
MU,1758,CTU,3395,KHN,3384,\N,0,738
MU,1758,PVG,3406,SYX,4030,\N,0,320
MU,1758,WUX,6390,CAN,3370,\N,0,321
MU,1758,WNZ,6392,NAY,6341,Y,0,737
CZ,1767,CAN,3370,KUL,3304,\N,0,73G
CZ,1767,CAN,3370,NKG,3388,\N,0,321
CZ,1767,WUH,3376,SZX,3374,\N,0,733
CZ,1767,TAO,3390,HGH,3386,\N,0,738
CZ,1767,SHA,3391,CAN,3370,\N,0,333
CZ,1767,KIX,3992,SHE,4144,\N,0,320
CZ,1767,SYX,4030,SZX,3374,\N,0,320
CZ,1767,JJN,6386,CSX,3371,Y,0,737
DE,1868,MRU,893,FRA,340,\N,0,767
DE,1868,KGS,1458,FRA,340,\N,0,32S
V0,1886,PMV,2850,PBL,2854,\N,0,E90
CM,1889,TGU,1776,SJO,1885,\N,0,E90
CM,1889,PTY,1871,COR,2443,\N,0,738
CM,1889,BOG,2709,CTG,2714,\N,0,320
CM,1889,IAH,3550,SFO,3469,Y,0,788
SS,1908,MRU,893,RUN,916,\N,0,744
OU,1925,OSI,1202,ZAG,1208,\N,0,EM2
OU,1925,ZAG,1208,DBV,1200,\N,0,320
CY,1942,ATH,3941,LCA,1197,\N,0,320
OK,1946,PRG,1587,EVN,3964,\N,0,319
DL,2009,YVR,156,MSP,3858,Y,0,E75
DL,2009,MUC,346,ATL,3682,\N,0,764
DL,2009,AMS,580,YVR,156,Y,0,333
DL,2009,MEX,1824,MIA,3576,\N,0,737
DL,2009,SJO,1885,ATL,3682,\N,0,73H
DL,2009,SFO,3469,DTW,3645,\N,0,763
DL,2009,LAX,3484,SFO,3469,Y,0,E75
DL,2009,LAX,3484,TPA,3646,\N,0,320
DL,2009,CVG,3488,MCO,3878,\N,0,M88
DL,2009,SLC,3536,SEA,3577,\N,0,757
DL,2009,MIA,3576,SDQ,1762,Y,0,738
DL,2009,DTW,3645,YYZ,193,Y,0,CR7
DL,2009,DTW,3645,DCA,3520,\N,0,319
DL,2009,ATL,3682,GCM,1926,\N,0,M88
DL,2009,ATL,3682,DCA,3520,\N,0,757
DL,2009,JAX,3712,JFK,3797,Y,0,CR9
DL,2009,HNL,3728,YVR,156,Y,0,73H
DL,2009,MSP,3858,RDU,3626,\N,0,M88
DL,2009,MSP,3858,BNA,3690,Y,0,CRJ
DL,2009,MSP,3858,ORD,3830,\N,0,320
DL,2009,MSP,3858,ATW,4047,Y,0,CRJ
DL,2009,SNA,3867,YVR,156,Y,0,73W
DL,2009,CLT,3876,DTW,3645,\N,0,M90
DL,2009,ICN,3930,HNL,3728,Y,0,744
DL,2009,GSO,4008,ATL,3682,\N,0,73H
BR,2091,TPE,2276,SUB,3928,\N,0,332
BR,2091,TSN,3368,KHH,2264,Y,0,M90
BR,2091,KWL,3372,TPE,2276,\N,0,M90
MS,2143,MUC,346,CAI,1128,\N,0,738
MS,2143,LHR,507,CAI,1128,\N,0,333
MS,2143,CAI,1128,BGW,4130,\N,0,320
EK,2183,DMM,2064,DXB,2188,\N,0,332
EK,2183,DXB,2188,ISB,2223,\N,0,77W
EK,2183,IAD,3714,DXB,2188,\N,0,77W
EU,2193,JHG,3381,KMG,3382,\N,0,319
ET,2220,LFW,298,BKO,1044,Y,0,73W
ET,2220,FRA,340,CPH,609,Y,0,320
ET,2220,DLA,897,ADD,1107,\N,0,763
EY,2222,AUH,2179,CTU,3395,\N,0,332
RZ,2226,GLF,1879,SJO,1885,\N,0,CNA
U2,2297,BRS,490,INV,533,\N,0,319
U2,2297,LGW,502,AGP,1230,\N,0,320
